"","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Property_Area","Loan_Status","Credit_History_f"
"LP001002","Male","No","0","Graduate","No",0.568748284723435,0,0.564610835797276,0.72972972972973,"Urban","Y","1"
"LP001003","Male","Yes","1","Graduate","No",0.442404131633442,0.268088888888889,0.488957370313302,0.72972972972973,"Rural","N","1"
"LP001005","Male","Yes","0","Graduate","Yes",0.284424041316334,0,0.234206471494607,0.72972972972973,"Urban","Y","1"
"LP001006","Male","Yes","0","Not Graduate","No",0.242808313165839,0.4192,0.456086286594761,0.72972972972973,"Urban","Y","1"
"LP001008","Male","No","0","Graduate","No",0.583817769017739,0,0.542372881355932,0.72972972972973,"Urban","Y","1"
"LP001011","Male","Yes","2","Graduate","Yes",0.525635587934433,0.745955555555556,1,0.72972972972973,"Urban","Y","1"
"LP001013","Male","Yes","0","Not Graduate","No",0.217858835857389,0.269511111111111,0.353364149974319,0.72972972972973,"Urban","Y","1"
"LP001014","Male","Yes","3+","Graduate","No",0.288016766048751,0.445155555555556,0.612223934257833,0.72972972972973,"Semiurban","N","0"
"LP001018","Male","Yes","2","Graduate","No",0.384820738005539,0.271288888888889,0.653312788906009,0.72972972972973,"Urban","Y","1"
"LP001020","Male","Yes","1","Graduate","No",1,1,1,0.72972972972973,"Semiurban","N","1"
"LP001024","Male","Yes","2","Graduate","No",0.304383623163095,0.124444444444444,0.250642013353878,0.72972972972973,"Urban","Y","1"
"LP001027","Male","Yes","2","Graduate","No",0.234525086699434,0.327111111111111,0.410888546481767,0.72972972972973,"Urban","Y","1"
"LP001028","Male","Yes","2","Graduate","No",0.291709288690402,1,0.784797123780175,0.72972972972973,"Urban","Y","1"
"LP001029","Male","No","0","Graduate","No",0.169955839425164,0.504888888888889,0.431432973805855,0.72972972972973,"Rural","N","1"
"LP001030","Male","Yes","2","Graduate","No",0.114667797709638,0.193066666666667,0.0328710837185413,0.189189189189189,"Urban","Y","1"
"LP001032","Male","No","0","Graduate","No",0.479029964322247,0,0.47663071391885,0.72972972972973,"Urban","Y","1"
"LP001036","Female","No","0","Graduate","No",0.335320975025573,0,0.275295326142784,0.72972972972973,"Urban","N","0"
"LP001038","Male","Yes","0","Not Graduate","No",0.472742696040518,0,0.509501797637391,0.72972972972973,"Rural","N","1"
"LP001041","Male","Yes","0","Graduate","No",0.244504877622814,0.622222222222222,0.435541859270673,0.689189189189189,"Urban","Y","1"
"LP001043","Male","Yes","0","Not Graduate","No",0.74948229834585,0,0.390344119157678,0.72972972972973,"Urban","N","0"
"LP001046","Male","Yes","1","Graduate","No",0.579326863102218,1,1,0.72972972972973,"Urban","Y","1"
